schemaname,tablename,indexname,indexdef
app_private,account,account_access_token_key,CREATE UNIQUE INDEX account_access_token_key ON app_private.account USING btree (access_token)
app_private,account,account_email_key,CREATE UNIQUE INDEX account_email_key ON app_private.account USING btree (email)
app_private,account,account_pkey,CREATE UNIQUE INDEX account_pkey ON app_private.account USING btree (id)
app_private,message,message_account_id_idx,CREATE INDEX message_account_id_idx ON app_private.message USING btree (account_id)
app_private,message,message_email_idx,CREATE INDEX message_email_idx ON app_private.message USING btree (email)
app_private,message,message_pkey,CREATE UNIQUE INDEX message_pkey ON app_private.message USING btree (id)
app_private,message,message_post_id_idx,CREATE INDEX message_post_id_idx ON app_private.message USING btree (post_id)
app_private,message,message_scammed_idx,CREATE INDEX message_scammed_idx ON app_private.message USING btree (scammed)
app_private,message,message_status_email_idx,"CREATE INDEX message_status_email_idx ON app_private.message USING btree (status, email)"
app_private,message_scam_rule,message_scam_rule_field_name_idx,CREATE INDEX message_scam_rule_field_name_idx ON app_private.message_scam_rule USING btree (field_name)
app_private,message_scam_rule,message_scam_rule_pkey,CREATE UNIQUE INDEX message_scam_rule_pkey ON app_private.message_scam_rule USING btree (id)
app_private,scammer,scammer_email_key,CREATE UNIQUE INDEX scammer_email_key ON app_private.scammer USING btree (email)
app_private,scammer,scammer_pkey,CREATE UNIQUE INDEX scammer_pkey ON app_private.scammer USING btree (id)
app_private,spammer,spammer_email_key,CREATE UNIQUE INDEX spammer_email_key ON app_private.spammer USING btree (email)
app_private,spammer,spammer_pkey,CREATE UNIQUE INDEX spammer_pkey ON app_private.spammer USING btree (id)
auth,audit_log_entries,audit_log_entries_pkey,CREATE UNIQUE INDEX audit_log_entries_pkey ON auth.audit_log_entries USING btree (id)
auth,audit_log_entries,audit_logs_instance_id_idx,CREATE INDEX audit_logs_instance_id_idx ON auth.audit_log_entries USING btree (instance_id)
auth,custom_oauth_providers,custom_oauth_providers_created_at_idx,CREATE INDEX custom_oauth_providers_created_at_idx ON auth.custom_oauth_providers USING btree (created_at)
auth,custom_oauth_providers,custom_oauth_providers_enabled_idx,CREATE INDEX custom_oauth_providers_enabled_idx ON auth.custom_oauth_providers USING btree (enabled)
auth,custom_oauth_providers,custom_oauth_providers_identifier_idx,CREATE INDEX custom_oauth_providers_identifier_idx ON auth.custom_oauth_providers USING btree (identifier)
auth,custom_oauth_providers,custom_oauth_providers_identifier_key,CREATE UNIQUE INDEX custom_oauth_providers_identifier_key ON auth.custom_oauth_providers USING btree (identifier)
