schemaname,table_name,index_name,idx_scan,idx_tup_read,idx_tup_fetch,index_bytes
auth,refresh_tokens,refresh_tokens_instance_id_idx,0,0,0,8192
auth,refresh_tokens,refresh_tokens_instance_id_user_id_idx,0,0,0,8192
auth,instances,instances_pkey,0,0,0,8192
auth,audit_log_entries,audit_log_entries_pkey,0,0,0,8192
auth,audit_log_entries,audit_logs_instance_id_idx,0,0,0,8192
vault,secrets,secrets_pkey,0,0,0,8192
vault,secrets,secrets_name_idx,0,0,0,8192
auth,refresh_tokens,refresh_tokens_token_unique,0,0,0,8192
auth,refresh_tokens,refresh_tokens_parent_idx,0,0,0,8192
auth,identities,identities_user_id_idx,0,0,0,8192
auth,users,users_instance_id_email_idx,0,0,0,8192
auth,users,confirmation_token_idx,0,0,0,8192
auth,users,recovery_token_idx,0,0,0,8192
auth,users,email_change_token_current_idx,0,0,0,8192
auth,users,email_change_token_new_idx,0,0,0,8192
auth,users,reauthentication_token_idx,0,0,0,8192
auth,sessions,sessions_pkey,0,0,0,8192
auth,mfa_factors,mfa_factors_pkey,0,0,0,8192
auth,mfa_factors,mfa_factors_user_friendly_name_unique,0,0,0,8192
auth,mfa_challenges,mfa_challenges_pkey,0,0,0,8192
auth,mfa_amr_claims,mfa_amr_claims_session_id_authentication_method_pkey,0,0,0,8192
auth,mfa_amr_claims,amr_id_pk,0,0,0,8192
auth,sessions,user_id_created_at_idx,0,0,0,8192
auth,mfa_factors,factor_id_created_at_idx,0,0,0,8192
auth,sessions,sessions_user_id_idx,0,0,0,8192
auth,refresh_tokens,refresh_tokens_session_id_revoked_idx,0,0,0,8192
auth,sso_providers,sso_providers_pkey,0,0,0,8192
auth,sso_providers,sso_providers_resource_id_idx,0,0,0,8192
auth,sso_domains,sso_domains_pkey,0,0,0,8192
auth,sso_domains,sso_domains_sso_provider_id_idx,0,0,0,8192
auth,sso_domains,sso_domains_domain_idx,0,0,0,8192
auth,saml_providers,saml_providers_pkey,0,0,0,8192
auth,saml_providers,saml_providers_entity_id_key,0,0,0,8192
auth,saml_providers,saml_providers_sso_provider_id_idx,0,0,0,8192
auth,saml_relay_states,saml_relay_states_pkey,0,0,0,8192
auth,saml_relay_states,saml_relay_states_sso_provider_id_idx,0,0,0,8192
auth,saml_relay_states,saml_relay_states_for_email_idx,0,0,0,8192
auth,users,users_email_partial_key,0,0,0,8192
auth,identities,identities_email_idx,0,0,0,8192
auth,users,users_phone_key,0,0,0,8192
auth,flow_state,flow_state_pkey,0,0,0,8192
auth,flow_state,idx_auth_code,0,0,0,8192
auth,flow_state,idx_user_id_auth_method,0,0,0,8192
auth,refresh_tokens,refresh_tokens_updated_at_idx,0,0,0,8192
auth,flow_state,flow_state_created_at_idx,0,0,0,8192
auth,saml_relay_states,saml_relay_states_created_at_idx,0,0,0,8192
auth,sessions,sessions_not_after_idx,0,0,0,8192
